experiment,model,layer,domain,all_delta_auc,all_meta_mj_auc,all_truth_gt_auc,cb_cluster_n_boot_valid,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p_le_zero,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_question_clusters,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,fold_empty_quadrants,n_splits,question_clusters,sample_size,seed
Exp2A_GroupKFold,qwen25_7b,0,math,-0.008394297490774916,0.5533718844372033,0.5617661819279782,1000,-0.017171528297182714,0.011343804065972801,-0.045617457006358456,0.871,0.5870037951189784,0.6338600783650777,0.5428029436486219,1824,1887,0.6041753234161611,0.6460870416865564,0.5631671313245681,,5,2307,4614,1245232011
Exp2A_GroupKFold,qwen25_7b,1,math,-0.009021161158697,0.5673389452549639,0.5763601064136609,1000,-0.007406714867447817,0.023810002161925994,-0.036424253609324324,0.671,0.5988912435247514,0.6446295648913912,0.5563738691112752,1824,1887,0.6062979583921992,0.653508301991101,0.5635709835883742,,5,2307,4614,1981595389
Exp2A_GroupKFold,qwen25_7b,2,math,-0.06955347884529395,0.658590957839273,0.728144436684567,1000,-0.011537715726197328,0.03875713566455637,-0.06758506543771828,0.677,0.5795416770547661,0.6239738554763667,0.5326562679060095,1824,1887,0.5910793927809634,0.633332183060375,0.5513536096809993,,5,2307,4614,405548338
Exp2A_GroupKFold,qwen25_7b,3,math,-0.0724545219189725,0.6813160175653695,0.753770539484342,1000,-0.01343181251558212,0.04878096997949645,-0.07938575327001861,0.659,0.56254674644727,0.6067281746766635,0.5170808748756932,1824,1887,0.5759785589628521,0.6189348857573947,0.5331469501073901,,5,2307,4614,391246539
Exp2A_GroupKFold,qwen25_7b,4,math,-0.0692079888562549,0.6888801802617252,0.75808816911798,1000,-0.002385800160669249,0.058539769180521645,-0.06354933007014668,0.507,0.5721592010859027,0.6166356615113677,0.5250252825150997,1824,1887,0.5745450012465719,0.614708762166556,0.5348860213651293,,5,2307,4614,4144179759
Exp2A_GroupKFold,qwen25_7b,5,math,-0.053856014996771395,0.7121558720832957,0.7660118870800671,1000,-0.01094559406077722,0.05898333756319816,-0.08871245350407161,0.616,0.5553962713648578,0.6032762867513644,0.5075529784583959,1824,1887,0.566341865425635,0.6095859824694912,0.5265325323059451,,5,2307,4614,2053581165
Exp2A_GroupKFold,qwen25_7b,6,math,-0.05298899433988136,0.7146419451370203,0.7676309394769016,1000,-0.017469320479791772,0.051112274690904076,-0.08777623307068251,0.675,0.5548734036953932,0.6005147902212145,0.5096343896403288,1824,1887,0.572342724175185,0.6148561019647039,0.5325493433393399,,5,2307,4614,756788394
Exp2A_GroupKFold,qwen25_7b,7,math,-0.05144059422553926,0.7186729423639739,0.7701135365895132,1000,-0.009515499044294828,0.06710992735652689,-0.07808701677570865,0.595,0.563249674506219,0.6134564527241892,0.5194627974348852,1824,1887,0.5727651735505138,0.6118001997717725,0.5298089146879781,,5,2307,4614,1858476078
Exp2A_GroupKFold,qwen25_7b,8,math,-0.04906254087226891,0.7270897962318388,0.7761523371041077,1000,-0.019399775617053083,0.05538603456363867,-0.09414835303443349,0.676,0.5530935759993352,0.5991276149310383,0.5077263251509847,1824,1887,0.5724933516163883,0.6108577685284223,0.5317012963651634,,5,2307,4614,3377753912
Exp2A_GroupKFold,qwen25_7b,9,math,-0.039307338131395086,0.7371228890150612,0.7764302271464563,1000,0.010041829413557135,0.08611669257068347,-0.05801323941814352,0.398,0.5742541344635586,0.6207595208981442,0.5307565437654878,1824,1887,0.5642123050500014,0.6041133745181866,0.5199110478243892,,5,2307,4614,3712735603
Exp2A_GroupKFold,qwen25_7b,10,math,-0.03535751058310921,0.7377491215943782,0.7731066321774874,1000,0.010976758358957284,0.08373086184122656,-0.0630672718839828,0.394,0.5764633369345411,0.6228587482952589,0.5293308956403302,1824,1887,0.5654865785755838,0.6036024879801957,0.5226351651711484,,5,2307,4614,1281546042
Exp2A_GroupKFold,qwen25_7b,11,math,-0.03433423903882271,0.7503857167543015,0.7847199557931243,1000,0.029159394997091304,0.10132012805267927,-0.04516001941838623,0.233,0.583838887503809,0.6262780280676712,0.5404721119692025,1824,1887,0.5546794925067177,0.5954290067642612,0.5136569649597446,,5,2307,4614,2866376980
Exp2A_GroupKFold,qwen25_7b,12,math,-0.02813233879283461,0.7580287370982032,0.7861610758910378,1000,0.05089822432754365,0.1252949995758153,-0.02866251966968249,0.092,0.593430565943655,0.6386212062778143,0.5488767108112258,1824,1887,0.5425323416161113,0.5862085737563671,0.5002665467270655,,5,2307,4614,3992843515
Exp2A_GroupKFold,qwen25_7b,13,math,-0.022932076156060854,0.7676284556792592,0.79056053183532,1000,0.055586719853735644,0.1254997294681179,-0.0286630259120429,0.092,0.6041510845175767,0.6475086392185835,0.5546781044722975,1824,1887,0.5485643646638411,0.5920996779686488,0.5059996064488914,,5,2307,4614,171216247
Exp2A_GroupKFold,qwen25_7b,14,math,-0.016018653470348365,0.7734176355871535,0.7894362890575018,1000,0.06750186985789086,0.15014873428077638,-0.009222886050010357,0.042,0.6086422061552952,0.656229790883063,0.565792936839227,1824,1887,0.5411403362974043,0.5822188287194768,0.4969712147198035,,5,2307,4614,33168015
Exp2A_GroupKFold,qwen25_7b,15,math,-0.00805889753243616,0.7936147934203922,0.8016736909528284,1000,0.11418945123133606,0.19031857268885488,0.03575070069229213,0.002,0.6350037397157816,0.6792988910029862,0.5903448239691709,1824,1887,0.5208142884844456,0.5625232130498029,0.4759074110630953,,5,2307,4614,3539752140
Exp2A_GroupKFold,qwen25_7b,16,math,0.00532708201643306,0.8122128553051311,0.806885773288698,1000,0.17639685309842373,0.26933987125795666,0.08768397768448376,0.0,0.6632697581650461,0.7120804632063391,0.6134940441572182,1824,1887,0.48687290506662234,0.5316784866494559,0.43844891537077935,,5,2307,4614,3260782085
Exp2A_GroupKFold,qwen25_7b,17,math,0.012619265985961858,0.820192906377458,0.8075736403914962,1000,0.2032431646305991,0.289597608976673,0.1193957147416436,0.0,0.6785264134740574,0.7246076347898215,0.6316671977095591,1824,1887,0.4752832488434583,0.5206631967700162,0.4305405694076284,,5,2307,4614,3556357040
Exp2A_GroupKFold,qwen25_7b,18,math,0.02868814802655606,0.8327933298773113,0.8041051818507552,1000,0.2516759467021247,0.3350884819111497,0.16762703290749748,0.0,0.6919963156874152,0.7360008401433351,0.6443650365828205,1824,1887,0.4403203689852905,0.48683092851974613,0.3960738723552618,,5,2307,4614,3661292639
Exp2A_GroupKFold,qwen25_7b,19,math,0.03990032507729191,0.8333881908272784,0.7934878657499865,1000,0.3079309676168315,0.3957854936311598,0.21377987397454462,0.0,0.6948634311199756,0.7381357418879115,0.6464180052612646,1824,1887,0.38693246350314414,0.4345128974386016,0.34340363663765966,,5,2307,4614,3034771593
Exp2A_GroupKFold,qwen25_7b,20,math,0.04375372646736819,0.8332908187755259,0.7895370923081577,1000,0.31799011052937753,0.40400524296297863,0.22365614705365805,0.0,0.6939804426715421,0.7382459946649214,0.6457863567434257,1824,1887,0.3759903321421646,0.42352072957288167,0.3320234119234771,,5,2307,4614,1395031107
Exp2A_GroupKFold,qwen25_7b,21,math,0.04541005290742073,0.8323332126468467,0.786923159739426,1000,0.3306912933876285,0.42510191194030833,0.2351938300377538,0.0,0.6957533449680047,0.7423332044969191,0.6485261080676974,1824,1887,0.3650620515803762,0.4119695412101144,0.31774522470383193,,5,2307,4614,1110570172
Exp2A_GroupKFold,qwen25_7b,22,math,0.04820268333816358,0.8346224844410433,0.7864198011028797,1000,0.34706293803152444,0.431612823481882,0.2564457510646535,0.0,0.6983122801185628,0.7388132443967466,0.6524341406954146,1824,1887,0.3512493420870384,0.3985285463134126,0.306094095742652,,5,2307,4614,3038441655
Exp2A_GroupKFold,qwen25_7b,23,math,0.04558057628984369,0.8257945422279274,0.7802139659380837,1000,0.3496772763788471,0.4428431301792263,0.2601940177271874,0.0,0.6906735643646639,0.7365222342504474,0.6450419613042563,1824,1887,0.34099628798581677,0.38584655331138956,0.29424188916341626,,5,2307,4614,801138305
Exp2A_GroupKFold,qwen25_7b,24,math,0.04146427284253795,0.8254266541591581,0.7839623813166201,1000,0.3432608936535638,0.43435230356248694,0.25409803049569113,0.0,0.6874394027535389,0.7332382631412204,0.6436543902225482,1824,1887,0.34417850909997505,0.3903332431700652,0.29671901309053494,,5,2307,4614,3574904263
Exp2A_GroupKFold,qwen25_7b,25,math,0.040827320799767586,0.8312148054890408,0.7903874846892732,1000,0.3431258483614505,0.43597626552794766,0.25251422677069946,0.0,0.6873874622565722,0.7341160927799719,0.643072501668907,1824,1887,0.3442616138951217,0.38965750090889617,0.29676715016968414,,5,2307,4614,304975137
Exp2A_GroupKFold,qwen25_7b,26,math,0.033505616015784834,0.8266945479879643,0.7931889319721794,1000,0.33858278622676524,0.42578330773846773,0.25102696241086164,0.0,0.6919859275880218,0.735839236975744,0.6475565472017926,1824,1887,0.35340314136125656,0.39874567380854886,0.3085901197131835,,5,2307,4614,2420818435
Exp2A_GroupKFold,qwen25_7b,27,math,0.0324664672698195,0.8321922974592751,0.7997258301894556,1000,0.31960026593534446,0.41153042910001336,0.22214197528630958,0.0,0.6825777722374581,0.7317214537549552,0.6318641828422038,1824,1887,0.3629775063021136,0.41278796695474557,0.31677478886081945,,5,2307,4614,3269254098
