experiment,model,layer,source,target,direction,delta_auc,delta_auc_ci_high,delta_auc_ci_low,delta_auc_p,delta_n_boot_valid,meta_gt_auc,meta_gt_auc_ci_high,meta_gt_auc_ci_low,meta_gt_auc_p,meta_gt_n_boot_valid,meta_mj_auc,meta_mj_auc_ci_high,meta_mj_auc_ci_low,meta_mj_auc_p,meta_mj_n_boot_valid,model_label,n_B,n_C,n_questions,sample_size,source_empty_quadrants,source_label,target_label,truth_gt_auc,truth_gt_auc_ci_high,truth_gt_auc_ci_low,truth_gt_auc_p,truth_gt_n_boot_valid,truth_mj_auc,truth_mj_auc_ci_high,truth_mj_auc_ci_low,truth_mj_auc_p,truth_mj_n_boot_valid
OOD,qwen25_7b,0,math,mmlu,math->mmlu,0.013581730769230749,0.10687328638679802,-0.07153467283867793,0.368,1000,0.4932692307692308,0.5971931226412334,0.38605077214452216,0.574,1000,0.5067307692307692,0.6094297623694342,0.4132704584917842,0.434,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.49314903846153846,0.5940268635971497,0.3900929629196728,0.566,1000,0.5068509615384615,0.5957528090173166,0.40999586454563985,0.466,1000
OOD,qwen25_7b,0,math,truthfulqa_binary,math->truthfulqa_binary,-0.008278704328545272,0.11591457026954737,-0.12297876037055015,0.565,1000,0.4599922876699123,0.5295191969503725,0.3887949002358135,0.867,1000,0.5400077123300877,0.6103696249333268,0.4749366586121236,0.136,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.548286416658633,0.6168044385321911,0.47872594430801474,0.085,1000,0.451713583341367,0.5163130331806594,0.38840468613417833,0.922,1000
OOD,qwen25_7b,0,movies,mmlu,movies->mmlu,0.007932692307692224,0.08534637455820096,-0.05871374865735768,0.409,1000,0.4387019230769231,0.547649325306768,0.33321301982401125,0.866,1000,0.5612980769230769,0.6743819343430022,0.44081312093707836,0.137,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.5533653846153846,0.6644144470749536,0.43605735032479964,0.175,1000,0.4466346153846154,0.5616502353793229,0.33767868450174887,0.791,1000
OOD,qwen25_7b,0,movies,truthfulqa_binary,movies->truthfulqa_binary,-0.005374530029885305,0.04365819397183303,-0.04943035722063815,0.573,1000,0.444929142967319,0.5119115803246688,0.37693684361913526,0.948,1000,0.555070857032681,0.6222821252508698,0.48834995819230176,0.056,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.5604453870625663,0.6296195951615818,0.4868893758746884,0.059,1000,0.4395546129374337,0.5155076173167775,0.3698621181271158,0.948,1000
OOD,qwen25_7b,1,math,mmlu,math->mmlu,-0.018389423076923095,0.12757701326403204,-0.15402423550817163,0.579,1000,0.5120192307692307,0.6265023510971786,0.3997549956219311,0.439,1000,0.4879807692307692,0.5914806864722782,0.38137236257184726,0.58,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.5063701923076923,0.6154968084475279,0.40382097249926685,0.48,1000,0.4936298076923077,0.6015400335674423,0.3843745830556345,0.556,1000
OOD,qwen25_7b,1,math,truthfulqa_binary,math->truthfulqa_binary,0.06162633760724956,0.1770234894802179,-0.06426063644079846,0.164,1000,0.4747903210257399,0.5525002141716344,0.40249177027592825,0.761,1000,0.5252096789742601,0.6002408499290127,0.453209191105539,0.254,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.4635833413670105,0.5264630714100162,0.3995013473989569,0.864,1000,0.5364166586329895,0.605171668381986,0.46926238155149846,0.138,1000
OOD,qwen25_7b,1,movies,mmlu,movies->mmlu,-0.03629807692307696,0.03608912340186783,-0.10828158526566001,0.819,1000,0.4564903846153846,0.5735956499137079,0.34123835696713994,0.792,1000,0.5435096153846154,0.6601298465685257,0.4289374813404986,0.223,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.5798076923076924,0.6905475075179274,0.4687671285920653,0.074,1000,0.4201923076923077,0.5280152314687804,0.3118950213672829,0.932,1000
OOD,qwen25_7b,1,movies,truthfulqa_binary,movies->truthfulqa_binary,0.03200616986407023,0.09235177857147144,-0.030184316913860726,0.158,1000,0.45531668755422733,0.5345149330635264,0.3844449678829577,0.857,1000,0.5446833124457727,0.6207559524620108,0.4642997653556371,0.119,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.5126771425817025,0.5737879901960784,0.44460810099043674,0.352,1000,0.4873228574182975,0.5537798094123463,0.4149398810035432,0.633,1000
OOD,qwen25_7b,2,math,mmlu,math->mmlu,0.2608173076923077,0.4154462586050423,0.11251005779102786,0.0,1000,0.3836538461538462,0.4775471652755468,0.29345251602680844,0.994,1000,0.6163461538461539,0.699728538092391,0.5223638793060303,0.012,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.35552884615384617,0.4428510178517201,0.26765154967987276,1.0,1000,0.6444711538461538,0.7273839664331999,0.5537949034575662,0.002,1000
OOD,qwen25_7b,2,math,truthfulqa_binary,math->truthfulqa_binary,0.12149329991323626,0.21745106176764567,0.019617345519759365,0.013,1000,0.4593897618818085,0.5260344518736054,0.3907041910315912,0.868,1000,0.5406102381181914,0.6079457324855183,0.4774455488591677,0.127,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.41911693820495516,0.48057049452313294,0.3573467188590854,0.99,1000,0.5808830617950448,0.6410781919665105,0.5223188260859346,0.006,1000
