model,source,target,direction,answer_letter_levels,answer_letter_reference,answer_logp_oc_auc,answer_logp_oc_ci_high,answer_logp_oc_ci_low,answer_logp_oc_n_boot_valid,answer_logp_oc_p,answer_logp_sj_auc,answer_logp_sj_ci_high,answer_logp_sj_ci_low,answer_logp_sj_n_boot_valid,answer_logp_sj_p,answer_prob_mean,answer_rank_mean,layers,letter_residual_delta_auc,letter_residual_delta_ci_high,letter_residual_delta_ci_low,letter_residual_delta_n_boot_valid,letter_residual_delta_p,letter_residual_meta_sj_auc,letter_residual_truth_oc_auc,meta_sj_auc,meta_sj_ci_high,meta_sj_ci_low,meta_sj_n_boot_valid,meta_sj_p,n_B,n_C,n_layers,n_questions,residual_delta_auc,residual_delta_ci_high,residual_delta_ci_low,residual_delta_n_boot_valid,residual_delta_p,residual_meta_sj_auc,residual_truth_oc_auc,sample_size,truth_oc_auc,truth_oc_ci_high,truth_oc_ci_low,truth_oc_n_boot_valid,truth_oc_p,window_delta_auc,window_delta_ci_high,window_delta_ci_low,window_delta_n_boot_valid,window_delta_p,window_end,window_start
qwen25_7b,math,mmlu,math->mmlu,B;C;D,A,0.6890625,0.7996112764047547,0.584355050565988,1000,0.0,0.3109375,0.4186078384761216,0.1986242694201368,1000,1.0,0.5883536769532307,1.6746575342465753,11;12;13;14;15;16;17;18;19;20;21,0.27148164335664343,0.39908512226002185,0.11813475946871473,1000,0.0,0.62930506993007,0.35782342657342653,0.5901551573426573,0.6610413866865479,0.5141982731094561,1000,0.012,260,32,11,280,0.22001748251748243,0.3534233582220975,0.06525142814516521,1000,0.004,0.6006228146853146,0.3806053321678322,292,0.39027534965034966,0.4668080628846574,0.32193097507123947,1000,0.996,0.19987980769230768,0.33175168760541474,0.053856323225935476,1000,0.004,0.8,0.4
qwen25_7b,math,truthfulqa_binary,math->truthfulqa_binary,B,A,0.4437361419068736,0.5149238409210973,0.38232015215212256,1000,0.939,0.5562638580931264,0.6231625395760878,0.488207659497119,1000,0.053,0.681025262058172,1.3231292517006803,11;12;13;14;15;16;17;18;19;20;21,0.2145451916251106,0.3211682957728976,0.10191116456265473,1000,0.001,0.6005495035187506,0.38600431189364,0.5745357264927302,0.6308894348502365,0.5166850162635783,1000,0.008,506,82,11,535,0.17209889310535215,0.2814965069351803,0.052992818315989,1000,0.002,0.5709249537698395,0.3988260606644874,588,0.39881510565015826,0.461327472926323,0.34264915539507407,1000,1.0,0.17572062084257195,0.2840623991557549,0.05629207857196384,1000,0.003,0.8,0.4
qwen25_7b,movies,mmlu,movies->mmlu,B;C;D,A,0.6890625,0.7976186806675808,0.5793533675577942,1000,0.001,0.3109375,0.41985140291281564,0.20791309473143776,1000,0.997,0.5883536769532307,1.6746575342465753,11;12;13;14;15;16;17;18;19;20;21,0.3633194930069932,0.4917047439440625,0.2137563931663466,1000,0.0,0.7063155594405596,0.3429960664335664,0.6421765734265734,0.7154241823034785,0.571236056909137,1000,0.0,260,32,11,280,0.30052447552447553,0.44934540269616324,0.15166850859323544,1000,0.0,0.6797530594405594,0.3792285839160839,292,0.4238854895104895,0.4999106388920108,0.3393874123164061,1000,0.975,0.21829108391608393,0.3725645081890809,0.07768257681512375,1000,0.0,0.8,0.4
qwen25_7b,movies,truthfulqa_binary,movies->truthfulqa_binary,B,A,0.4437361419068736,0.5089766574047486,0.37525219961784645,1000,0.956,0.5562638580931264,0.624063232074948,0.48651853905488585,1000,0.06,0.681025262058172,1.3231292517006803,11;12;13;14;15;16;17;18;19;20;21,0.26125518172177764,0.34344510066697687,0.17408912992724535,1000,0.0,0.642813948800645,0.3815587670788674,0.6317274742995365,0.6717543280336126,0.5857779420093979,1000,0.0,506,82,11,535,0.23437814956661962,0.31841093760876665,0.13873699213312862,1000,0.0,0.6269116500004381,0.3925335004338185,588,0.3875971709770996,0.43198382529090795,0.3474617563462181,1000,1.0,0.24413030332243685,0.32055181040586717,0.15740139993318478,1000,0.0,0.8,0.4
llama31_8b,math,mmlu,math->mmlu,B;C;D,A,0.4835648932565232,0.6598581561791382,0.3197887685479597,1000,0.611,0.5164351067434768,0.6912066455553556,0.3254158333156495,1000,0.427,0.23026722201047828,2.359743040685225,13;14;15;16;17;18;19;20;21;22;23;24,0.37206314243759175,0.642057758155881,0.05056142116097839,1000,0.018,0.7418954026883542,0.36983226025076243,0.6915593584095786,0.8083504309146511,0.5619116604334532,1000,0.007,13,454,12,258,0.37809217214503554,0.6283799010093168,0.08931489810836617,1000,0.01,0.7505083022704168,0.3724161301253812,467,0.3861685304416582,0.5823244329742366,0.2204027913721959,1000,0.902,0.3053908279679204,0.5768762201299187,-0.014974724942293776,1000,0.029,0.8,0.4
llama31_8b,math,truthfulqa_binary,math->truthfulqa_binary,B,A,0.3397634672243456,0.3903501265969637,0.28987180702095133,1000,1.0,0.6602365327756544,0.7118728749063883,0.6000354825365786,1000,0.0,0.5816020940377115,1.4029227557411275,13;14;15;16;17;18;19;20;21;22;23;24,0.35128061825436885,0.43804543231493503,0.26463508541605346,1000,0.0,0.6922685151799235,0.34098789692555465,0.7072140693733324,0.7532517070988934,0.664402423435305,1000,0.0,283,196,12,420,0.3347170140140862,0.41353463305586574,0.2511133208868013,1000,0.0,0.6776339511069446,0.34291693709285836,479,0.31109528617100546,0.3548985792099507,0.2641517848440546,1000,1.0,0.39611878320232696,0.4862293385125747,0.311302673291047,1000,0.0,0.8,0.4
llama31_8b,movies,mmlu,movies->mmlu,B;C;D,A,0.4835648932565232,0.67046740488881,0.32542682726974764,1000,0.587,0.5164351067434768,0.6910012390281939,0.3398696828690076,1000,0.419,0.23026722201047828,2.359743040685225,13;14;15;16;17;18;19;20;21;22;23;24,0.4650542189088444,0.7619237542833804,0.13491134329631085,1000,0.003,0.7505930193154863,0.28553880040664187,0.6783717383937647,0.8264710724671822,0.5019515003889867,1000,0.025,13,454,12,258,0.4813763695922286,0.7627624143885058,0.16908515414073055,1000,0.001,0.7575821755337174,0.2762058059414888,467,0.35634813057720544,0.5410744166426187,0.1915456768031245,1000,0.933,0.3220236078165593,0.6333104707011545,-0.03588874558069753,1000,0.042,0.8,0.4
llama31_8b,movies,truthfulqa_binary,movies->truthfulqa_binary,B,A,0.3397634672243456,0.3984840570816144,0.2899098449834923,1000,1.0,0.6602365327756544,0.7148985958499936,0.6041753519307702,1000,0.0,0.5816020940377115,1.4029227557411275,13;14;15;16;17;18;19;20;21;22;23;24,0.3973236821230259,0.4796030066119618,0.31383984098091205,1000,0.0,0.7029984255186174,0.3056747433955915,0.7231624540275474,0.7674373458791653,0.6757502279979702,1000,0.0,283,196,12,420,0.3748332371817987,0.4594127954334698,0.29377270504533004,1000,0.0,0.6954144732097788,0.3205812360279801,479,0.2884771399725969,0.33482572729885496,0.2438663153654363,1000,1.0,0.43468531405495053,0.5214994550631398,0.3424721811231552,1000,0.0,0.8,0.4
qwen25_14b,math,mmlu,math->mmlu,B;C;D,A,0.7007142857142857,0.7740507881759864,0.6279317599235802,1000,0.0,0.29928571428571427,0.3726584150877778,0.22852375104306472,1000,1.0,0.3975069365077538,1.9636363636363636,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.3107936507936508,0.39266645484521634,0.22165843147136344,1000,0.0,0.6433611807296017,0.3325675299359509,0.5987190197716514,0.6537386485560491,0.5456449318726915,1000,0.0,135,140,19,201,0.25675856307435246,0.3479073534124794,0.16707929101451952,1000,0.0,0.6264633806739069,0.3697048175995545,275,0.36728766360345305,0.41843328859799106,0.3163280151218991,1000,1.0,0.23143135616819838,0.33563540139042214,0.13459956955864447,1000,0.0,0.8,0.4
qwen25_14b,math,truthfulqa_binary,math->truthfulqa_binary,B,A,0.42397557131599684,0.4959413843507731,0.3502038845854648,1000,0.978,0.5760244286840032,0.6485623973337187,0.5016459982180876,1000,0.023,0.6114774581879968,1.3928571428571428,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.49699307370080054,0.5691084110481043,0.4154956933534298,1000,0.0,0.7782028949442164,0.2812098212434158,0.7680975488366306,0.8193804137066905,0.7128593415680947,1000,0.0,270,94,19,292,0.48550039401103234,0.5897386463925657,0.37619135676349025,1000,0.0,0.7581892082451993,0.27268881423416697,364,0.26603210153042184,0.3228713127674148,0.2140988001363719,1000,1.0,0.5020654473062087,0.5985540240462335,0.3918434165501818,1000,0.0,0.8,0.4
