experiment,model,layer,domain,source,target,direction,all_delta_auc,all_delta_auc_ci_high,all_delta_auc_ci_low,all_delta_auc_p,all_meta_gt_auc,all_meta_gt_auc_ci_high,all_meta_gt_auc_ci_low,all_meta_gt_auc_p,all_meta_mj_auc,all_meta_mj_auc_ci_high,all_meta_mj_auc_ci_low,all_meta_mj_auc_p,all_truth_gt_auc,all_truth_gt_auc_ci_high,all_truth_gt_auc_ci_low,all_truth_gt_auc_p,all_truth_mj_auc,all_truth_mj_auc_ci_high,all_truth_mj_auc_ci_low,all_truth_mj_auc_p,auc_mj,auc_mj_ci_high,auc_mj_ci_low,auc_mj_p,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p,cb_meta_gt_auc,cb_meta_gt_auc_ci_high,cb_meta_gt_auc_ci_low,cb_meta_gt_auc_p,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_meta_mj_auc_p,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,cb_truth_gt_auc_p,cb_truth_mj_auc,cb_truth_mj_auc_ci_high,cb_truth_mj_auc_ci_low,cb_truth_mj_auc_p,cohens_d,cohens_d_ci_high,cohens_d_ci_low,cohens_d_p,delta_score,fold_empty_quadrants,fold_meta_gt_auc_mean,fold_meta_mj_auc_mean,fold_meta_mj_auc_std,fold_truth_gt_auc_mean,fold_truth_gt_auc_std,fold_truth_mj_auc_mean,n_B,n_C,source_empty_quadrants,threshold,threshold_mode
Exp2B,qwen25_7b,0,nan,math,movies,math->movies,0.0197613568131879,0.0539990415031885,-0.031159325408138,0.22,0.5177788172093571,0.5426655510943748,0.49835201309268,0.05,0.5019874892780184,0.5297590244962426,0.4755800998212758,0.5,0.4822261324648305,0.5035720448978174,0.4636293534688745,0.88,0.5033778600668075,0.5268870823031172,0.47862258827545,0.33,,,,,0.0013171584796227,0.0263920167011515,-0.0230669881526333,0.49,0.5374117282447479,0.5897660683907454,0.4841603834608177,0.09,0.462588271755252,0.5114284409729236,0.4260825689627659,0.93,653.0,0.4612711132756292,0.5069360558494249,0.4196659306343538,0.92,0.5387288867243708,0.5764140154226362,0.4895246164437045,0.07,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,0,nan,movies,math,movies->math,0.017511677256389,0.043767041390992,-0.0071619710811381,0.08,0.5145070446246474,0.528787404881427,0.5019748287958795,0.02,0.4944428052873555,0.514105868817027,0.4749725775562322,0.75,0.4769311280309665,0.492013866235826,0.4642141543111891,0.99,0.5226302027693842,0.5431909708425654,0.5041369634243548,0.01,,,,,0.0477389373807634,0.0758036899796383,0.0175742744209672,0.0,0.529707838800628,0.5714667484805448,0.4906755183783211,0.09,0.4702921611993719,0.5042269261998372,0.4382025538555205,0.95,2186.0,0.4225532238186085,0.4537143303965338,0.391148882830818,1.0,0.5774467761813915,0.6164788226908972,0.5461338376994758,0.0,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,1,nan,math,movies,math->movies,-0.0465026851005456,-0.0104657797350384,-0.0790270869511711,1.0,0.4811722643357001,0.5032346078282948,0.4577898892864898,0.94,0.4865805246971694,0.5076201059680908,0.4604321457300973,0.88,0.5330832097977151,0.5538857839268189,0.5068361582748033,0.0,0.5346991220178944,0.5527014086336773,0.5108728099852151,0.0,,,,,-0.0002656454076549,0.031889044153195,-0.0440611475934458,0.47,0.4935580988643658,0.5494724152202335,0.4555981784223155,0.56,0.5064419011356341,0.5653494616131078,0.4513258020996841,0.38,653.0,0.5067075465432891,0.5356714041627835,0.4661976091115313,0.39,0.4932924534567108,0.5337212832099331,0.4483791398048578,0.66,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,1,nan,movies,math,movies->math,-0.0113219664709061,0.0112439375784184,-0.0355431511372471,0.82,0.5219101999408996,0.5356233355020695,0.5036152387894217,0.0,0.5031235551395488,0.5198273112489554,0.4838250816298758,0.47,0.5144455216104549,0.5274323984867704,0.5006395687946418,0.02,0.4960781188354976,0.5128175577148473,0.474688612507096,0.68,,,,,-0.0669033107663216,-0.0339846337042872,-0.1110257289223492,1.0,0.5305815366953116,0.5677438731930625,0.4950844610140975,0.05,0.4694184633046884,0.5082268744106266,0.4398323557975672,0.95,2186.0,0.5363217740710101,0.5723724263184881,0.5000572091413577,0.03,0.4636782259289899,0.5074197810510938,0.4285264929341514,0.94,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,2,nan,math,movies,math->movies,0.0210606259977703,0.0534812845918214,-0.00857960165602,0.14,0.507195588850364,0.5360052549533677,0.4868281511610373,0.29,0.5229790372183518,0.5449181026080971,0.4972704430750271,0.04,0.5019184112205815,0.5218902784422306,0.4795656575188478,0.45,0.5104744171774863,0.5380005428920345,0.48450213976745,0.13,,,,,0.0429349390122417,0.110663816999499,-0.0231009767859348,0.09,0.4744205609545525,0.5315589664221638,0.42974752388159,0.8,0.5255794390454475,0.57020178054953,0.4667144357808129,0.16,653.0,0.4826445000332057,0.5269326236352869,0.4304614673037951,0.81,0.5173554999667943,0.5653717988775455,0.4805916880922307,0.27,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,2,nan,movies,math,movies->math,0.0420707135562674,0.066522981276394,0.0115434009681581,0.0,0.546457198254252,0.56124244880576,0.5308223447547517,0.0,0.5357423290274372,0.552506595086341,0.5182846404531852,0.0,0.4936716154711698,0.5061996217934156,0.4780583320606109,0.81,0.4906379260254058,0.5128613072152157,0.4721648734664063,0.83,,,,,-0.0087623035234927,0.0327642548700841,-0.0432151052685879,0.71,0.4990081207475815,0.5300491200599572,0.4524469860764143,0.45,0.5009918792524185,0.5443683123752615,0.4610726024772921,0.35,2186.0,0.5097541827759112,0.5495784042191932,0.4772087466179804,0.36,0.4902458172240887,0.5298220701611396,0.4587784374676643,0.69,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,3,nan,math,movies,math->movies,0.0053612463525135,0.0352445536712581,-0.0196078614099622,0.47,0.5129545347677489,0.5368994951181602,0.4855738354256708,0.21,0.5201446857326164,0.5459430305910052,0.4982002667071167,0.03,0.5147834393801028,0.536545730917652,0.4942178336623476,0.11,0.5174768300592063,0.5390976463672428,0.489960346159827,0.1,,,,,0.0139353153432359,0.0933266498196183,-0.0550091672338349,0.36,0.4917317866867376,0.5343924156861939,0.43515667465342,0.62,0.5082682133132623,0.5536934822941628,0.4674398330048712,0.31,653.0,0.4943328979700263,0.5481968581971114,0.4556814853927798,0.55,0.5056671020299737,0.5481872416425426,0.4632190108957125,0.37,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,3,nan,movies,math,movies->math,0.0105453682662509,0.035280364127306,-0.0130624920689271,0.21,0.5501864920644892,0.5651348854880798,0.5343161863445353,0.0,0.5237299076080628,0.5400679860828099,0.5058966429550503,0.02,0.5131845393418119,0.529652604294006,0.4994733290326009,0.04,0.5218022588715138,0.5419407556768562,0.5027445848507605,0.01,,,,,-0.000949671624656,0.0487623669849228,-0.044609278062316,0.45,0.505375141395553,0.5520791190126402,0.4681783723227004,0.32,0.494624858604447,0.5262091797859505,0.4642217483718234,0.6,2186.0,0.495574530229103,0.5331559700299584,0.4580232868554467,0.55,0.504425469770897,0.5413766053045915,0.4653771694214876,0.41,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,4,nan,math,movies,math->movies,0.0098608497574746,0.0372622774057221,-0.0177910375425844,0.2,0.5190046865165101,0.5435823369058325,0.5001214738676711,0.03,0.5351454353996248,0.5593387905891718,0.5105978646921625,0.0,0.5252845856421501,0.5488836355695187,0.4986561163356593,0.06,0.5484986610598548,0.5729082128398769,0.5311238688637974,0.0,,,,,0.0449272795696544,0.1160854554689832,-0.0341303506856041,0.19,0.4861864388019392,0.5300382684212167,0.4536712081772339,0.67,0.5138135611980608,0.5698163869621405,0.4733421695863342,0.26,653.0,0.4688862816284063,0.5050461625076578,0.4250958303547719,0.93,0.5311137183715936,0.5809478483466448,0.4859974714305302,0.06,,,,,,,,,,,,,,,,0.5,symmetric_confident
Exp2B,qwen25_7b,4,nan,movies,math,movies->math,0.0239814130439722,0.0493642317720405,-0.0011835810227765,0.04,0.5947546121387987,0.610027508719227,0.580168911697909,0.0,0.5526092554722412,0.5731956855409037,0.535320252128939,0.0,0.5286278424282689,0.5481412619264703,0.5118319721755085,0.0,0.5358777573165755,0.551017090685381,0.5169907378120115,0.0,,,,,-0.0060335803886478,0.0318092320862249,-0.0482363830125713,0.57,0.5212473198156371,0.5637559897837161,0.4914590803015602,0.11,0.4787526801843629,0.5170794942942007,0.4413940667174647,0.8,2186.0,0.4847862605730108,0.5202391226018916,0.454335297616949,0.81,0.5152137394269892,0.5558082258449751,0.4782994555330525,0.21,,,,,,,,,,,,,,,,0.5,symmetric_confident
