baseline,model,source,target,direction,window_start,window_end,layer_min,layer_max,n_layers,real_window_mean_delta,null_window_mean,null_window_std,null_window_ci_low,null_window_ci_high,empirical_p_null_ge_real,target_cb_n,n_reps_requested,n_reps_valid,n_exceed
source_label_shuffle,llama31_8b,math,movies,math->movies,0.4,0.8,13,24,12,0.6008134427644621,0.0018793579209559022,0.06808911962542141,-0.11947750457856061,0.14541156816391582,0.009900990099009901,2146,100,100,0
random_direction,llama31_8b,math,movies,math->movies,0.4,0.8,13,24,12,0.6008134427644621,-0.00015874236471681048,0.04034272700379708,-0.07513800338841112,0.07486022957575171,0.009900990099009901,2146,100,100,0
source_label_shuffle,llama31_8b,movies,math,movies->math,0.4,0.8,13,24,12,0.13795766299315163,0.0026530563441910632,0.025332625705628827,-0.041437323193007095,0.04622642997425484,0.009900990099009901,1273,100,100,0
random_direction,llama31_8b,movies,math,movies->math,0.4,0.8,13,24,12,0.13795766299315163,-0.0007427229294501938,0.03474401611694478,-0.08013436377466394,0.05151707395874671,0.009900990099009901,1273,100,100,0
source_label_shuffle,olmo3_7b_it,math,movies,math->movies,0.4,0.8,13,24,12,0.7610783424077435,-0.009041704476709012,0.07827850291390451,-0.14725701646357273,0.14108479712211555,0.009900990099009901,249,100,100,0
random_direction,olmo3_7b_it,math,movies,math->movies,0.4,0.8,13,24,12,0.7610783424077435,-0.006425816696914698,0.03975367357756762,-0.07465538847117795,0.06453080438164376,0.009900990099009901,249,100,100,0
source_label_shuffle,olmo3_7b_it,movies,math,movies->math,0.4,0.8,13,24,12,0.33414549251653325,-0.00016872244459914114,0.07118158688414235,-0.13865759876435782,0.10569535691495527,0.009900990099009901,325,100,100,0
random_direction,olmo3_7b_it,movies,math,movies->math,0.4,0.8,13,24,12,0.33414549251653325,0.004272609931546581,0.043896623672668486,-0.07621687913331013,0.09411642338148275,0.009900990099009901,325,100,100,0
source_label_shuffle,qwen25_14b,math,movies,math->movies,0.4,0.8,19,37,19,0.4220601503759398,0.0009862641898864795,0.031307015805875936,-0.06498461226595902,0.06512479728733593,0.009900990099009901,1340,100,100,0
random_direction,qwen25_14b,math,movies,math->movies,0.4,0.8,19,37,19,0.4220601503759398,0.00020733008993070875,0.016676489094576433,-0.0324735736399823,0.03008540100250626,0.009900990099009901,1340,100,100,0
source_label_shuffle,qwen25_14b,movies,math,movies->math,0.4,0.8,19,37,19,0.5660910082692382,0.004375585334207133,0.03777785279769442,-0.07501601776810035,0.07066561125540372,0.009900990099009901,1563,100,100,0
random_direction,qwen25_14b,movies,math,movies->math,0.4,0.8,19,37,19,0.5660910082692382,0.0003926906858387652,0.028216778183935417,-0.04733188139886308,0.048791197393917525,0.009900990099009901,1563,100,100,0
source_label_shuffle,qwen25_7b,math,movies,math->movies,0.4,0.8,11,21,11,0.4502156320338138,-0.0033045823954914893,0.050073442745336455,-0.09673905946633218,0.0922513788422879,0.009900990099009901,513,100,100,0
random_direction,qwen25_7b,math,movies,math->movies,0.4,0.8,11,21,11,0.4502156320338138,-0.003261799625435989,0.02761409251005825,-0.052583160083160094,0.05218050377141279,0.009900990099009901,513,100,100,0
source_label_shuffle,qwen25_7b,movies,math,movies->math,0.4,0.8,11,21,11,0.3019608009791256,-0.003976970528017648,0.04366583911044218,-0.08704706312690605,0.07381078690797274,0.009900990099009901,1887,100,100,0
random_direction,qwen25_7b,movies,math,movies->math,0.4,0.8,11,21,11,0.3019608009791256,0.002841064912399991,0.027047748167988616,-0.04399045695675276,0.06380228991485537,0.009900990099009901,1887,100,100,0
